name,non_gov,budget,start_year,cost_overrun,time_forecast,time_overrun,launch_year,country,Average_GDPPC,Average_CPI,domain,crisis_event_during_building,crisis_event_after_lauch,outcome
Westpac Branch Network Transformation,1,100,2018,-1,12,0,2018,Australia,0.057207,77,banking,0,0,1
Services Australia 500 Site Network Refresh,0,-1,2021,-1,-1,-1,2022,Australia,0.062468,75,network,1,1,1
The Uber Disruptive Business Model Project,1,200,2009,-1,-1,-1,2010,US,0.047923,73,transportation,0,0,1
"Billing & CRM, SA Power Networks",1,-1,2019,-1,-1,-1,2021,Australia,0.055703,75.67,energy,1,1,1
US Healthcare.gov,0,125.24,2010,2138.54,36,0,2013,US,0.053921,73,healthcare,0,0,1
National Broadband Network (NBN),0,36900,2009,-1,120,-12,2018,Australia,0.057399,82,network,0,0,1
E*Justice Upgrade,0,1.43,2021,-0.41,11,4,2022,Australia,0.062468,75,law,0,0,1
Fairer Victoria Grants Management,0,1.13,2021,0.23,12,0,2022,Australia,0.062468,75,community services,1,0,1
Tenant Relocaiton System,0,1.43,2022,0,5,3,2022,Australia,0.064491,77,community services,0,0,1
VISIT 2-0,0,1.5,2021,0,8,2,2022,Australia,0.062468,75,education,1,0,1
NewPaymentPlatform,1,1000,2013,-1,-1,-1,2018,Australia,0.057477,78.57,payment,0,0,1
BharatNet,0,6000,2011,-1,-1,-1,2011,India,0.00145,33,network,0,0,1
Peninsula Health Surgical Centre - IT component,0,5.92,2022,0,4,0,2022,Australia,0.064491,77,health,0,0,1
Enforcement & Advice,0,60,2020,17.15,19,9,2022,Australia,0.05886,75.67,governance,1,0,1
Target Architecture Blueprint for the Victorian Government,0,1,2022,0,6,0,2022,Australia,0.064491,77,community services,0,0,1
New Housing Integrated Information Program (HiiP) ,0,1.01,2021,0,11,3,2022,Australia,0.062468,75,environment,1,0,1
Automated Briefing and Correspondence,0,1.9,2020,0,14,13,2022,Australia,0.05886,75.67,business process automation,1,0,1
DCFMC,0,2.02,2021,0,8,1,2022,Australia,0.062468,75,business process automation,1,0,1
Data Centre Core Network Refresh,0,2.12,2021,0.38,8,18,2022,Australia,0.062468,75,network,1,0,1
MCEC core systems uplift,0,1.33,2021,1.08,15,5,2022,Australia,0.062468,75,finance,1,0,1
SWARH windows 2003/2008 server,0,2.66,2020,0,6,4,2022,Australia,0.05886,75.67,healthcare,1,0,1
western health active directory,0,1.88,2020,0.89,18,9,2022,Australia,0.05886,75.67,healthcare,1,0,1
peninsula health enhanced eReferral,0,1.35,2020,0.42,15,13,2022,Australia,0.05886,75.67,healthcare,1,0,1
migration to public cloud Victoria ,0,10.2,2021,-7.56,15,1,2022,Australia,0.062468,75,cloud,1,0,1
SAP successFactors,0,1.54,2020,1.59,8,12,2022,Australia,0.05886,75.67,human capital,1,0,1
MTIA reporting and analytics,0,2.37,2021,0.26,5,4,2022,Australia,0.062468,75,transportation,1,0,1
service delivery model,0,1.31,2021,0,6,2,2022,Australia,0.062468,75,environment,1,0,1
